t,w_julia,w_fem,w_matlab_aprfun3
0.20900000000000016,3.989654947555544e-5,4.11067e-5,4.384e-5
0.21000000000000016,4.001417212264109e-5,4.11067e-5,4.384e-5
0.21100000000000016,4.012226676120118e-5,4.11067e-5,4.384e-5
0.21200000000000016,4.0214907191758657e-5,4.12233e-5,4.382e-5
0.21300000000000016,4.028812387367649e-5,4.12233e-5,4.382e-5
0.21400000000000016,4.034064638537884e-5,4.1315e-5,4.377e-5
0.21500000000000016,4.037422081753646e-5,4.1315e-5,4.377e-5
0.21600000000000016,4.03934304396251e-5,4.1315e-5,4.377e-5
0.21700000000000016,4.040502886270601e-5,4.13809e-5,4.37e-5
0.21800000000000017,4.0416877807843734e-5,4.13809e-5,4.37e-5
0.21900000000000017,4.043665250848824e-5,4.14197e-5,4.359e-5
0.22000000000000017,4.0470524151663056e-5,4.14197e-5,4.359e-5
0.22100000000000017,4.052204162977268e-5,4.14197e-5,4.359e-5
0.22200000000000017,4.0591410569822015e-5,4.14314e-5,4.345e-5
0.22300000000000017,4.067530863890044e-5,4.14314e-5,4.345e-5
0.22400000000000017,4.076729102265921e-5,4.1416e-5,4.329e-5
0.22500000000000017,4.085874209400054e-5,4.1416e-5,4.329e-5
0.22600000000000017,4.094023474410192e-5,4.1416e-5,4.329e-5
0.22700000000000017,4.1003083867482234e-5,4.1373e-5,4.309e-5
0.22800000000000017,4.104083865563539e-5,4.1373e-5,4.309e-5
0.22900000000000018,4.105045815427331e-5,4.13027e-5,4.286e-5
0.23000000000000018,4.103295772612061e-5,4.13027e-5,4.286e-5
0.23100000000000018,4.0993395063770426e-5,4.13027e-5,4.286e-5
0.23200000000000018,4.0940170981829204e-5,4.12093e-5,4.26e-5
0.23300000000000018,4.088373531042007e-5,4.12093e-5,4.26e-5
0.23400000000000018,4.08348926186447e-5,4.11004e-5,4.231e-5
0.23500000000000018,4.080297808774765e-5,4.11004e-5,4.231e-5
0.23600000000000018,4.0794206689413065e-5,4.11004e-5,4.231e-5
0.23700000000000018,4.081048167954707e-5,4.0982e-5,4.2e-5
0.23800000000000018,4.084888225761586e-5,4.0982e-5,4.2e-5
0.23900000000000018,4.090194436104065e-5,4.08535e-5,4.165e-5
0.24000000000000019,4.09587193191501e-5,4.08535e-5,4.165e-5
0.2410000000000002,4.100646339060903e-5,4.08535e-5,4.165e-5
0.2420000000000002,4.1032699149615836e-5,4.07093e-5,4.128e-5
0.2430000000000002,4.102731687485042e-5,4.07093e-5,4.128e-5
0.2440000000000002,4.098436425700706e-5,4.05447e-5,4.088e-5
0.2450000000000002,4.090321120744064e-5,4.05447e-5,4.088e-5
0.2460000000000002,4.0788869067715826e-5,4.05447e-5,4.088e-5
0.2470000000000002,4.065137662072314e-5,4.03594e-5,4.045e-5
0.2480000000000002,4.050431823514755e-5,4.03594e-5,4.045e-5
0.2490000000000002,4.036268740467541e-5,4.01562e-5,4.0e-5
0.25000000000000017,4.0240426958449736e-5,4.01562e-5,4.0e-5
0.25100000000000017,4.01480444737795e-5,4.01562e-5,4.0e-5
0.25200000000000017,4.009070475240512e-5,3.99364e-5,3.952e-5
0.25300000000000017,4.006713761394285e-5,3.99364e-5,3.952e-5
0.25400000000000017,4.00695767226999e-5,3.96989e-5,3.902e-5
0.25500000000000017,4.008478180589036e-5,3.96989e-5,3.902e-5
0.25600000000000017,4.009601802729213e-5,3.96989e-5,3.902e-5
0.2570000000000002,4.0085701554977414e-5,3.94424e-5,3.849e-5
0.2580000000000002,4.0038297444174493e-5,3.94424e-5,3.849e-5
0.2590000000000002,3.9942996951284844e-5,3.91673e-5,3.794e-5
0.2600000000000002,3.979571868669812e-5,3.91673e-5,3.794e-5
0.2610000000000002,3.960007183138189e-5,3.91673e-5,3.794e-5
0.2620000000000002,3.936707753290926e-5,3.8877e-5,3.737e-5
0.2630000000000002,3.911364297085457e-5,3.8877e-5,3.737e-5
0.2640000000000002,3.8859990156720736e-5,3.85752e-5,3.677e-5
0.2650000000000002,3.862642419167619e-5,3.85752e-5,3.677e-5
0.2660000000000002,3.84299520233285e-5,3.85752e-5,3.677e-5
0.2670000000000002,3.828130931438382e-5,3.82629e-5,3.616e-5
0.2680000000000002,3.818290869891837e-5,3.82629e-5,3.616e-5
0.2690000000000002,3.812809092333728e-5,3.79399e-5,3.552e-5
0.2700000000000002,3.8101859313572176e-5,3.79399e-5,3.552e-5
0.2710000000000002,3.808303817267353e-5,3.79399e-5,3.552e-5
0.2720000000000002,3.804755539674311e-5,3.76072e-5,3.486e-5
0.2730000000000002,3.797234888577171e-5,3.76072e-5,3.486e-5
0.2740000000000002,3.7839270481826506e-5,3.72664e-5,3.419e-5
0.2750000000000002,3.763833452707983e-5,3.72664e-5,3.419e-5
0.2760000000000002,3.736973954463525e-5,3.72664e-5,3.419e-5
0.2770000000000002,3.704427217199056e-5,3.69148e-5,3.35e-5
0.2780000000000002,3.668195647289935e-5,3.69148e-5,3.35e-5
