t,axis,s,p_dibem,p_exact,error
4.500000000000e-01,x,2.400000000000e-01,3.808565216582e-02,3.569272158218e-02,2.392930583647e-03
4.500000000000e-01,x,2.533333333333e-01,3.778820581473e-02,3.644179230714e-02,1.346413507594e-03
4.500000000000e-01,x,2.666666666667e-01,3.602374605811e-02,3.596919351317e-02,5.455254493492e-05
4.500000000000e-01,x,2.800000000000e-01,3.295745510891e-02,3.426120800825e-02,-1.303752899344e-03
4.500000000000e-01,x,2.933333333333e-01,2.883724103436e-02,3.138010915535e-02,-2.542868120984e-03
4.500000000000e-01,x,3.066666666667e-01,2.393570454231e-02,2.746196333751e-02,-3.526258795202e-03
4.500000000000e-01,x,3.200000000000e-01,1.852948401337e-02,2.270753868064e-02,-4.178054667270e-03
4.500000000000e-01,x,3.333333333333e-01,1.289531187953e-02,1.736713362443e-02,-4.471821744897e-03
4.500000000000e-01,x,3.466666666667e-01,7.314528796818e-03,1.172089115055e-02,-4.406362353735e-03
4.500000000000e-01,x,3.600000000000e-01,2.040352114299e-03,6.056712436143e-03,-4.016360321844e-03
4.500000000000e-01,x,3.733333333333e-01,-2.712446820032e-03,6.481445972471e-04,-3.360591417279e-03
4.500000000000e-01,x,3.866666666667e-01,-6.773379589537e-03,-4.265444731509e-03,-2.507934858029e-03
4.500000000000e-01,x,4.000000000000e-01,-1.004817737499e-02,-8.494460713948e-03,-1.553716661040e-03
4.500000000000e-01,x,4.133333333333e-01,-1.252249834073e-02,-1.190910430278e-02,-6.133940379488e-04
4.500000000000e-01,x,4.266666666667e-01,-1.422002679680e-02,-1.444323192887e-02,2.232051320740e-04
4.500000000000e-01,x,4.400000000000e-01,-1.519153392778e-02,-1.609222508731e-02,9.006911595290e-04
4.500000000000e-01,x,4.533333333333e-01,-1.550819199122e-02,-1.690571819168e-02,1.397526200456e-03
4.500000000000e-01,x,4.666666666667e-01,-1.526907635291e-02,-1.697652942228e-02,1.707453069369e-03
4.500000000000e-01,x,4.800000000000e-01,-1.458942605468e-02,-1.642740579229e-02,1.837979737601e-03
4.500000000000e-01,x,4.933333333333e-01,-1.358481300790e-02,-1.539722073332e-02,1.812407725415e-03
4.500000000000e-01,x,5.066666666667e-01,-1.236563279347e-02,-1.402807867574e-02,1.662445882271e-03
4.500000000000e-01,x,5.200000000000e-01,-1.103080571021e-02,-1.245444313801e-02,1.423637427802e-03
4.500000000000e-01,x,5.333333333333e-01,-9.656260646404e-03,-1.079498422647e-02,1.138723580068e-03
4.500000000000e-01,x,5.466666666667e-01,-8.301591006004e-03,-9.147410281887e-03,8.458192758824e-04
4.500000000000e-01,x,5.600000000000e-01,-7.014250788771e-03,-7.586167515657e-03,5.719167268853e-04
4.500000000000e-01,x,5.733333333333e-01,-5.830520761827e-03,-6.162602596205e-03,3.320818343778e-04
4.500000000000e-01,x,5.866666666667e-01,-4.773766481615e-03,-4.907005933491e-03,1.332394518759e-04
4.500000000000e-01,x,6.000000000000e-01,-3.851180931156e-03,-3.831886881350e-03,-1.929404980568e-05
4.500000000000e-01,x,6.133333333333e-01,-3.061600583108e-03,-2.935859304950e-03,-1.257412781582e-04
4.500000000000e-01,x,6.266666666667e-01,-2.398542059028e-03,-2.207610453196e-03,-1.909316058323e-04
4.500000000000e-01,x,6.400000000000e-01,-1.851911617139e-03,-1.629558284661e-03,-2.223533324781e-04
4.500000000000e-01,x,6.533333333333e-01,-1.409440539461e-03,-1.180945113550e-03,-2.284954259109e-04
4.500000000000e-01,x,6.666666666667e-01,-1.057755779666e-03,-8.402473868854e-04,-2.175083927806e-04
4.500000000000e-01,x,6.800000000000e-01,-7.831075387830e-04,-5.868888131624e-04,-1.962187256207e-04
4.500000000000e-01,x,6.933333333333e-01,-5.719748753884e-04,-4.023205753475e-04,-1.696543000408e-04
4.500000000000e-01,x,7.066666666667e-01,-4.116314327759e-04,-2.705777280539e-04,-1.410537047220e-04
4.500000000000e-01,x,7.200000000000e-01,-2.915971597015e-04,-1.784391122729e-04,-1.131580474286e-04
4.500000000000e-01,x,7.333333333333e-01,-2.034530195431e-04,-1.153155976480e-04,-8.813742189509e-05
4.500000000000e-01,x,7.466666666667e-01,-1.399585289271e-04,-7.297530642160e-05,-6.698322250550e-05
4.500000000000e-01,x,7.600000000000e-01,-9.494798369400e-05,-4.519135749436e-05,-4.975662619964e-05
4.500000000000e-01,x,7.733333333333e-01,-6.332722857469e-05,-2.737303930302e-05,-3.595418927167e-05
4.500000000000e-01,x,7.866666666667e-01,-4.143643084675e-05,-1.621899981144e-05,-2.521743103531e-05
4.500000000000e-01,x,8.000000000000e-01,-2.659213815202e-05,-9.413164690863e-06,-1.717897346116e-05
4.500000000000e-01,x,8.133333333333e-01,-1.674452369217e-05,-5.371312555211e-06,-1.137321113696e-05
4.500000000000e-01,x,8.266666666667e-01,-1.034879974447e-05,-3.038122587570e-06,-7.310677156896e-06
4.500000000000e-01,x,8.400000000000e-01,-6.269066466899e-06,-1.730048763211e-06,-4.539017703687e-06
4.500000000000e-01,x,8.533333333333e-01,-3.715472641643e-06,-1.017406656055e-06,-2.698065985589e-06
4.500000000000e-01,x,8.666666666667e-01,-2.145432490521e-06,-6.385883935959e-07,-1.506844096925e-06
4.500000000000e-01,x,8.800000000000e-01,-1.199300513789e-06,-4.396508019809e-07,-7.596497118084e-07
4.500000000000e-01,x,8.933333333333e-01,-6.524485799787e-07,-3.332386927663e-07,-3.192098872125e-07
4.500000000000e-01,x,9.066666666667e-01,-3.555217615464e-07,-2.716946681053e-07,-8.382709344107e-08
4.500000000000e-01,x,9.200000000000e-01,-1.941646546369e-07,-2.301554578416e-07,3.599080320474e-08
4.500000000000e-01,x,9.333333333333e-01,-1.010652799000e-07,-1.963672507622e-07,9.530197086224e-08
4.500000000000e-01,x,9.466666666667e-01,-4.497903879781e-08,-1.648068087175e-07,1.198277699197e-07
4.500000000000e-01,x,9.600000000000e-01,-1.867678744756e-08,-1.334236742113e-07,1.147468867637e-07
4.500000000000e-01,x,9.733333333333e-01,-1.277664434734e-08,-1.018956121633e-07,8.911896781592e-08
4.500000000000e-01,x,9.866666666667e-01,-1.322890216150e-08,-7.071310089793e-08,5.748419873643e-08
4.500000000000e-01,x,1.000000000000e+00,-1.321618360859e-08,-4.069734157806e-08,2.748115796948e-08
4.500000000000e-01,x,1.013333333333e+00,-1.175064408251e-08,-1.273860039483e-08,9.879563123216e-10
4.500000000000e-01,x,1.026666666667e+00,-1.127573584258e-08,1.235178273469e-08,-2.362751857728e-08
4.500000000000e-01,x,1.040000000000e+00,-1.083467912437e-08,3.392531035948e-08,-4.475998948384e-08
4.500000000000e-01,x,1.053333333333e+00,-8.878868702942e-09,5.153827688850e-08,-6.041714559144e-08
4.500000000000e-01,x,1.066666666667e+00,-5.602697908683e-09,6.496256131486e-08,-7.056525922355e-08
4.500000000000e-01,x,1.080000000000e+00,-2.578667537873e-09,7.417266907225e-08,-7.675133661013e-08
4.500000000000e-01,x,1.093333333333e+00,-1.469461542688e-09,7.931617868014e-08,-8.078564022283e-08
4.500000000000e-01,x,1.106666666667e+00,-1.507095193376e-09,8.067515481629e-08,-8.218225000966e-08
4.500000000000e-01,x,1.120000000000e+00,-1.781644823248e-09,7.862599188942e-08,-8.040763671267e-08
4.500000000000e-01,x,1.133333333333e+00,-1.897035251122e-09,7.360416701934e-08,-7.550120227046e-08
4.500000000000e-01,x,1.146666666667e+00,-1.951162911391e-09,6.607855978533e-08,-6.802972269672e-08
4.500000000000e-01,x,1.160000000000e+00,-2.036042696127e-09,5.653762211822e-08,-5.857366481435e-08
4.500000000000e-01,x,1.173333333333e+00,-1.831789096757e-09,4.548713625259e-08,-4.731892534935e-08
4.500000000000e-01,x,1.186666666667e+00,-1.271149160998e-09,3.345696606683e-08,-3.472811522782e-08
4.500000000000e-01,x,1.200000000000e+00,-5.750260887420e-10,2.101242145188e-08,-2.158744754062e-08
4.500000000000e-01,x,1.213333333333e+00,-1.650900452056e-10,8.764852020744e-09,-8.929942065950e-09
4.500000000000e-01,x,1.226666666667e+00,-1.349069074942e-10,-2.624002474558e-09,2.489095567064e-09
4.500000000000e-01,x,1.240000000000e+00,-2.396793264139e-10,-1.244854128783e-08,1.220886196142e-08
4.500000000000e-01,x,1.253333333333e+00,-3.307995425115e-10,-1.997968723529e-08,1.964888769278e-08
4.500000000000e-01,x,1.266666666667e+00,-3.778472312569e-10,-2.449982348117e-08,2.412197624991e-08
4.500000000000e-01,x,1.280000000000e+00,-4.391894461363e-10,-2.535038116840e-08,2.491119172227e-08
4.500000000000e-01,x,1.293333333333e+00,-4.650178886187e-10,-2.198762312159e-08,2.152260523297e-08
4.500000000000e-01,x,1.306666666667e+00,-3.920815570997e-10,-1.404005335285e-08,1.364797179575e-08
4.500000000000e-01,x,1.320000000000e+00,-2.385638238543e-10,-1.359580279565e-09,1.121016455711e-09
4.500000000000e-01,x,1.333333333333e+00,-9.287508253946e-11,1.594163470405e-08,-1.603450978659e-08
4.500000000000e-01,x,1.346666666667e+00,-5.195760047926e-11,3.747564553745e-08,-3.752760313793e-08
