# w_lin=0.03313573432827539 w_nl=0.03238456817786416 h=0.1 q=0.005000000000000001
tag,x,y,u,v,w,thx,thy,wx,wy,ex,ey,gxy,Nxx,Nyy,Nxy,Nnn
lin,0.028175416344931863,1.0,-8.907156495824107e-36,2.1519891248740728e-20,-1.5415528807786335e-19,-3.2049327955180165e-18,-0.00806183423186289,-6.193364589380908e-18,-0.009227001618206507,-3.151812969854849e-20,9.403434264695167e-05,2.801961181802824e-19,2.3567504422794493e-06,0.00012255102299853348,2.0865221308861387e-20,0.00012255102299853348
lin,0.0,0.9718245836551572,1.534936110373268e-20,1.8610269790744308e-36,2.849116407255032e-20,0.005521406504429137,-6.973031326567028e-19,0.009184453150879021,-2.7024799519899536e-05,9.355915393612699e-05,4.047803624164937e-10,-1.5798012473191724e-07,0.00012193173958543774,2.3453684840845276e-06,-7.899006236595791e-09,0.00012193173958543774
lin,0.0,0.8750000000000052,6.643651986236375e-20,-2.987374527597424e-36,-1.2158354558342841e-19,0.023898531849409,1.1191558302457195e-18,0.039963812551538705,1.3482146181114263e-06,0.0007985531568272772,9.088413306698252e-13,5.387979627768403e-08,0.0010407209061635903,2.0013864764085863e-05,2.6939898138848086e-09,0.0010407209061635903
lin,0.0,0.7781754163450552,1.1142301051896e-19,1.3044575764762696e-36,1.5306805165331012e-19,0.04008065792124271,-4.887727526240823e-19,0.06670946631359355,2.9585148123177056e-05,0.0022560773888791784,4.765743248047044e-10,2.043092831982124e-06,0.0029402512455712175,5.6543914053736045e-05,1.0215464159910791e-07,0.0029402512455712175
lin,0.0,0.7218245836556477,1.3313028516553786e-19,9.639526886086984e-37,1.6361510234535195e-19,0.04788910588315174,-3.611863277899259e-19,0.07969824452249868,4.4923831215909576e-05,0.003196784647740469,1.0419263248672871e-09,3.632730433778e-06,0.004166235657253902,8.012127388244014e-05,1.8163652168890241e-07,0.004166235657253902
lin,0.0,0.625000000001009,1.603919472883865e-19,-1.1397638263976114e-36,-2.960816718518014e-19,0.05769615971157493,4.2697688355033744e-19,0.09648117826590868,6.809059392327081e-05,0.004654308879789776,2.318164490414656e-09,6.5694607305449895e-06,0.006065766016722627,0.00011665236652489418,3.2847303652725305e-07,0.006065766016722627
lin,0.0,0.5281754163466034,1.7292529374013132e-19,1.5105019975137775e-37,2.3338445382302206e-19,0.06220401652550191,-5.659858358324597e-20,0.10352588515025342,8.438470372031489e-05,0.005359302882689395,3.5694192241003307e-09,8.74024422060608e-06,0.006984555224793678,0.0001343230198618809,4.3701221103030816e-07,0.006984555224793678
lin,0.0,0.4718245836571301,1.7292529374031062e-19,-1.8497955535405008e-37,2.0819992228179836e-19,0.062204016525567056,6.930822374891143e-20,0.10352588515037331,9.055669089918399e-05,0.005359302882701795,4.103540457895184e-09,9.372403048737378e-06,0.006984555238196337,0.00013432371596004024,4.68620152436873e-07,0.006984555238196337
lin,0.0,0.37500000000155,1.603919472889224e-19,4.462272938300628e-37,-2.366364585894567e-19,0.05769615971176764,-1.6715569190314193e-19,0.0964811782662117,9.494642677837805e-05,0.004654308879818699,4.507411978990945e-09,9.160543127744196e-06,0.00606576607162868,0.00011665521968024077,4.580271563872133e-07,0.00606576607162868
lin,0.0,0.27817541634596993,1.331302851661045e-19,-1.106297316931095e-36,1.795544331658817e-19,0.047889105883354786,4.1452089544859282e-19,0.07969824452283471,8.975284433530365e-05,0.0031967846477674645,4.031746495531325e-09,7.171330092059824e-06,0.004166235732221921,8.012517039060731e-05,3.5856650460299363e-07,0.004166235732221921
